planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,8,3.838959999999999,0.009531800169497728,True
0,./map2.txt,1,113,39.075754,0.5994944998528808,True
0,./map2.txt,2,50,16.685385999999998,0.16678320011124015,True
0,./map2.txt,3,94,25.418520200000003,8.034806199837476,True
0,./map2.txt,4,70,26.543941999999998,1.791426399955526,True
1,./map2.txt,0,12,3.8439600000000014,0.007948599988594651,True
1,./map2.txt,1,122,37.102748000000005,0.16394919995218515,True
1,./map2.txt,2,38,12.058467999999998,0.01416409993544221,True
1,./map2.txt,3,47,14.24691,0.3823410999029875,True
1,./map2.txt,4,77,22.351966000000004,0.03176229982636869,True
2,./map2.txt,0,7,3.894180000000002,0.010011699981987476,True
2,./map2.txt,1,50,21.62325,0.20903549995273352,True
2,./map2.txt,2,37,17.64951,0.08414479997009039,True
2,./map2.txt,3,81,36.16316199999999,2.3177865999750793,True
2,./map2.txt,4,48,22.199588,1.147878099931404,True
3,./map2.txt,0,9,7.043159999999995,19.248319200007245,True
3,./map2.txt,1,46,48.47632399999999,21.021868699928746,True
3,./map2.txt,2,20,19.259768,20.460788100026548,True
3,./map2.txt,3,10,8.504924,19.323055800050497,True
3,./map2.txt,4,27,24.133286,21.062644200166687,True
