planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,8,3.838959999999999,0.009992599952965975,True
0,./map2.txt,1,113,39.075754,0.5964647999498993,True
0,./map2.txt,2,42,15.004378000000004,0.39798759995028377,True
0,./map2.txt,3,71,23.587000000000003,2.0625896002165973,True
0,./map2.txt,4,70,26.543941999999998,1.7949330999981612,True
1,./map2.txt,0,12,3.8439600000000014,0.008572100196033716,True
1,./map2.txt,1,122,37.102748000000005,0.16420789994299412,True
1,./map2.txt,2,52,17.459636,0.01336400001309812,True
1,./map2.txt,3,76,18.920688,2.270324599929154,True
1,./map2.txt,4,77,22.351966000000004,0.03178939991630614,True
2,./map2.txt,0,7,3.894180000000002,0.00928070000372827,True
2,./map2.txt,1,50,21.62325,0.20700599998235703,True
2,./map2.txt,2,37,17.64951,0.08479700004681945,True
2,./map2.txt,3,81,36.16316199999999,2.3054626998491585,True
2,./map2.txt,4,58,25.785606,10.722710100002587,True
3,./map2.txt,0,9,7.043159999999995,19.212353499839082,True
3,./map2.txt,1,46,48.47632399999999,20.963607999961823,True
3,./map2.txt,2,20,19.259768,20.474252900108695,True
3,./map2.txt,3,10,8.504924,19.274739400018007,True
3,./map2.txt,4,27,24.133286,21.134611799847335,True
