planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,8,3.985699999999999,0.009346999926492572,True
0,./map2.txt,1,113,39.075754,0.6012619999237359,True
0,./map2.txt,2,42,15.004378000000004,0.4031146999914199,True
0,./map2.txt,3,71,23.587000000000003,2.0649941998999566,True
0,./map2.txt,4,70,26.543941999999998,1.8239841999020427,True
1,./map2.txt,0,12,3.8439600000000014,0.008403500076383352,True
1,./map2.txt,1,122,37.102748000000005,0.16476900014095008,True
1,./map2.txt,2,52,17.459636,0.013447299832478166,True
1,./map2.txt,3,76,18.920688,2.3049787001218647,True
1,./map2.txt,4,77,22.351966000000004,0.031244700076058507,True
2,./map2.txt,0,7,3.894180000000002,0.00966859981417656,True
2,./map2.txt,1,51,22.391613999999997,0.24137980001978576,True
2,./map2.txt,2,37,17.64951,0.08633700013160706,True
2,./map2.txt,3,71,28.492246800000004,7.775833399966359,True
2,./map2.txt,4,48,22.199588,1.1352918001357466,True
3,./map2.txt,0,9,7.043159999999995,19.359056000132114,True
3,./map2.txt,1,46,48.47632399999999,21.058360500028357,True
3,./map2.txt,2,20,19.259768,20.409133000066504,True
3,./map2.txt,3,10,8.504924,19.331929499981925,True
3,./map2.txt,4,24,23.312564,21.053963900078088,True
