planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,8,3.838959999999999,0.01069669984281063,True
0,./map2.txt,1,113,39.075754,0.6007207999937236,True
0,./map2.txt,2,42,15.004378000000004,0.39937120000831783,True
0,./map2.txt,3,71,23.587000000000003,2.0574470998253673,True
0,./map2.txt,4,70,26.543941999999998,1.7955867000855505,True
1,./map2.txt,0,12,3.8439600000000014,0.00757280015386641,True
1,./map2.txt,1,122,37.102748000000005,0.1643737000413239,True
1,./map2.txt,2,52,17.459636,0.012413099873811007,True
1,./map2.txt,3,76,18.920688,2.321468799840659,True
1,./map2.txt,4,77,22.351966000000004,0.03317720000632107,True
2,./map2.txt,0,7,3.894180000000002,0.01048079994507134,True
2,./map2.txt,1,51,22.391613999999997,0.24299479997716844,True
2,./map2.txt,2,37,17.272982,0.5263702000956982,True
2,./map2.txt,3,71,28.492246800000004,7.79588310001418,True
2,./map2.txt,4,58,25.785606,10.741581900045276,True
3,./map2.txt,0,9,7.043159999999995,19.744482799898833,True
3,./map2.txt,1,46,48.47632399999999,21.249154400080442,True
3,./map2.txt,2,19,16.310332219999996,20.787900199880823,True
3,./map2.txt,3,31,29.405780800000002,19.528158099856228,True
3,./map2.txt,4,24,23.312564,21.207142600091174,True
